School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
P.S. 139 - QUEENS,Q,28,WATER PENETRATION/ROOFS,1456000,CIP,Q139,93-06 63 DRIVE,Queens,11374,QUEENS   ,40.72814,-73.863582,6,29,693,4072457,4030950050,Rego Park                                                                  ,"(40.72814, -73.863582)",
P.S. 188 - QUEENS,Q,26,FY16 RESO A AUDITORIUM UPGRADE,386000,CIP,Q188,218-12 HARTLAND AVENUE,Queens,11364,QUEENS   ,40.736177,-73.753159,11,23,129104,4164350,4077740165,Oakland Gardens                                                            ,"(40.736177, -73.753159)",11/13/2017
P.S. 212 - BROOKLYN,K,21,DEFECTIVE STAIR LANDING,319995,CIP,K212,87 BAY 49 STREET,Brooklyn,11214,BROOKLYN ,40.587616,-73.985948,13,47,314,3187407,3069170001,Gravesend                                                                  ,"(40.587616, -73.985948)",11/13/2017
MIDDLE SCHOOL FOR ART & PHILOS,K,18,PLANYC BOILER CONVERSION/CLIMATE CONTROL,7375000,CIP,K252,1084 LENOX ROAD,Brooklyn,11212,BROOKLYN ,40.658295,-73.920109,17,41,886,3101840,3046690037,Rugby-Remsen Village                                                       ,"(40.658295, -73.920109)",
P.S./I.S. @ 3269 ATLANTIC AVENUE - BROOKLYN,K,19,New,14968000,CAP,K667,3269 ATLANTIC AVENEUE,Brooklyn,11218,,,,,,,,,,,11/13/2017
P.S. 132 - MANHATTAN,M,6,REMOVE OIL TANK - FUEL CONVERSION,968000,CIP,M233,601 WEST 183 STREET,Manhattan,10033,MANHATTAN,40.850592,-73.933043,12,10,271,1063959,1021650069,Washington Heights North                                                   ,"(40.850592, -73.933043)",11/13/2017
P.S. 241 - MANHATTAN,M,3,PLANYC BOILER CONVERSION/CIMATE CONTROL,4697000,CIP,M113,240 WEST 113 STREET,Manhattan,10026,MANHATTAN,40.801689,-73.954908,10,9,216,1055111,1018280015,Central Harlem South                                                       ,"(40.801689, -73.954908)",11/13/2017
P.S. 196 - BROOKLYN,K,14,FY16 RESO A LIBRARY UPGRADE,131000,CIP,K196,207 BUSHWICK AVENUE,Brooklyn,11206,BROOKLYN ,40.708723,-73.940002,1,34,485,3071024,3030460001,Bushwick South                                                             ,"(40.708723, -73.940002)",
P.S. 375 - BROOKLYN,K,17,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,6238000,CIP,K320,46 MCKEEVER PLACE,Brooklyn,11225,BROOKLYN ,40.665035,-73.959031,9,35,325,3034356,3013010001,Crown Heights South                                                        ,"(40.665035, -73.959031)",11/13/2017
P.S. 354 - QUEENS,Q,28,DEFECTIVE PARAPET WALL/ROOFS/EXT MASONRY,5977000,CIP,Q030,126-10 BEDELL STREET,Queens,11434,QUEENS   ,40.68031,-73.774432,12,28,33402,4270045,4124950065,Springfield Gardens North                                                  ,"(40.68031, -73.774432)",
